Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,18738.96,7326.19,8229.19,9578.85,10843.48,30273.01,29652.9,32568,35701.1,37883.2
tianjin,12849.73,4408.33,5261.97,6829.24,7922.26,23231.85,18796.9,21060.4,23206.8,25302.5
hebei,8891.50,2251.01,2653.42,3423.95,4005.28,14588.36,15275.9,16705.3,18031.9,19496.0
shanxi,9019.35,1789.93,2108.60,2684.87,3175.50,16216.40,15623.7,16561.8,16954.4,17831.0
neimenggu,10284.43,900.42,1036.78,1310.86,1459.05,18377.94,17406.2,18989.3,20354.9,21707.4
liaoning,9494.59,2239.75,2649.97,3179.75,3630.24,15882.02,16239.6,17126.7,18315.8,19256.7
jilin,8677.27,869.02,1072.14,1469.19,1792.02,14388.26,13658.2,14791.8,15837.8,16917.1
shanghai,21791.11,8671.00,9605.73,10493.03,11477.71,33235.39,30212.1,32010,34338.7,35995.0
jiangsu,12319.86,4238.54,4896.39,5969.02,6775.89,21890.00,20720.1,22460.5,24213.9,26298.3
zhejiang,15538.83,5090.15,5822.48,6721.32,7678.22,24453.00,23317.3,24947.7,26655.9,28817.7
anhui,9302.38,1882.42,2203.94,2723.17,3243.47,15535.34,15515,16928.7,18277.9,19756.2
fujian,12668.82,2678.35,3094.60,3889.54,4474.49,21443.39,19197.2,20714.3,22213.4,23886
jiangxi,9105.96,2018.98,2394.62,2994.49,3532.72,14767.52,15623.1,16834.9,18135.9,19794.9
shangdong,12940.62,2496.57,2958.06,3715.25,4383.22,21562.13,18866.2,20386.1,21812.3,23431
henan,9043.52,1621.75,1943.86,2523.77,2989.36,14704.24,14510.8,15624.3,15829,16833.5
hubei,9474.81,1900.54,2186.11,2703.05,3189.84,15571.83,14215.3,15571.6,16517.5,17915.2
hunan,9070.97,2234.01,2655.59,3240.81,3847.59,13951.38,14661.7,15902.8,17274.9,18765.9
guangdong,15188.39,4089.69,4799.52,5854.68,6804.43,25286.45,24315.6,26136.9,27965.3,30087.3
guangxi,10321.20,1465.22,1707.18,1820.37,2245.95,15647.77,13892.7,15163.1,16492.8,17943.2
hainan,8999.75,972.68,1261.86,2004.63,2475.57,15773.04,15654.2,17214.9,18891.9,20395.7
chongqing,10957.62,1919.68,2335.23,2894.53,3400.77,16654.66,15020.2,15936.2,17043.1,18335.8
sichuan,9117.00,1821.37,2248.18,2652.46,3088.86,14976.04,14262.4,15242.3,16219.1,17299.3
guizhou,7811.16,1074.32,1303.85,1713.52,1977.73,13627.56,13147.5,14166.2,15351.4,16552.6
yunnan,8596.88,684.95,930.00,1138.55,1435.87,15140.70,13530.9,14659,15543.9,16923.2
gansu,8595.48,1081.59,1269.81,1775.39,1989.69,14015.57,15283.5,16899.2,18740.9,20568.3
ningxia,8793.54,1518.94,1788.28,2164.24,2510.53,15363.92,15735.6,16884.7,18032.9,19568.7
xinjiang,9422.22,461.49,556.26,804.73,1008.02,15585.27,15404.3,17943.3,19173.4,20716.3
